anio;mes;provincia;canton;producto;presentacion;tipo;precio_prom_usd;precio_prom_usd_kg
2012;Enero;Manabi;Bolivar;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;78;1,72
2012;Enero;Manabi;Bolivar;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;85;1,87
2012;Enero;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;37;0,82
2012;Enero;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;93;2,05
2012;Enero;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;110;2,42
2012;Enero;Manabi;Chone ;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;80;1,76
2012;Enero;Manabi;Chone ;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;86;1,9
2012;Enero;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;75;1,65
2012;Enero;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;84;1,85
2012;Enero;Manabi;Chone ;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;30;0,66
2012;Enero;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;35;0,77
2012;Enero;Manabi;Chone ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;25;0,55
2012;Enero;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;85;1,87
2012;Enero;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;91;2,01
2012;Enero;Manabi;Flavio Alfaro ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;80;1,76
2012;Enero;Manabi;Flavio Alfaro ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;32;0,71
2012;Enero;Manabi;Flavio Alfaro ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;28;0,62
2012;Enero;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;80;1,76
2012;Enero;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;82;1,81
2012;Enero;Manabi;Portoviejo ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;30;0,66
2012;Enero;Manabi;Portoviejo ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;72,33;1,59
